"データ日付","終値","始値","高値","安値"
"2011/08/01",8955.2,9965.01,9965.01,8628.13
"2011/09/01",8700.29,9060.8,9060.8,8374.13
"2011/10/01",8988.39,8545.48,9050.47,8382.98
"2011/11/01",8434.61,8835.52,8835.52,8160.01
"2011/12/01",8455.35,8597.38,8722.17,8296.12
"2012/01/01",8802.51,8560.11,8883.69,8378.36
"2012/02/01",9723.24,8809.79,9723.24,8809.79
"2012/03/01",10083.56,9707.37,10255.15,9576.06
"2012/04/01",9520.89,10109.87,10109.87,9458.74
"2012/05/01",8542.73,9350.95,9380.25,8542.73
"2012/06/01",9006.78,8440.25,9006.78,8295.63
"2012/07/01",8695.06,9003.48,9104.17,8365.9
"2012/08/01",8839.91,8641.85,9178.12,8555.11
"2012/09/01",8870.16,8783.89,9232.21,8679.82
"2012/10/01",8928.29,8796.51,9055.2,8534.12
"2012/11/01",9446.01,8946.87,9446.01,8661.05
"2012/12/01",10395.18,9458.18,10395.18,9432.46
"2013/01/01",11138.66,10688.11,11138.66,10486.99
"2013/02/01",11559.36,11191.34,11662.52,11046.92
"2013/03/01",12397.91,11606.38,12635.69,11606.38
"2013/04/01",13860.86,12135.02,13926.08,12003.43
"2013/05/01",13774.54,13799.35,15627.26,13589.03
"2013/06/01",13677.32,13261.82,13677.32,12445.38
"2013/07/01",13668.32,13852.5,14808.5,13661.13
"2013/08/01",13388.86,14005.77,14466.16,13338.46
"2013/09/01",14455.8,13572.92,14799.12,13572.92
"2013/10/01",14327.94,14484.72,14713.25,13853.32
"2013/11/01",15661.87,14201.57,15727.12,14086.8
"2013/12/01",16291.31,15655.07,16291.31,15152.91
"2014/01/01",14914.53,15908.88,16121.45,14914.53
"2014/02/01",14841.07,14619.13,15051.6,14008.47
"2014/03/01",14827.83,14652.23,15274.07,14224.23
"2014/04/01",14304.11,14791.99,15071.88,13910.16
"2014/05/01",14632.38,14485.13,14681.72,14006.44
"2014/06/01",15162.1,14935.92,15376.24,14933.29
"2014/07/01",15620.77,15326.2,15646.23,15164.04
"2014/08/01",14778.37,15523.11,15523.11,14778.37
